Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_UNO_R2","Arduino_UNO_R2",130.175000,-86.000000,180.000000,top
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",201.200000,-135.000000,0.000000,top
"C1","C","CP_Radial_D5.0mm_P2.00mm",207.000000,-68.000000,-90.000000,top
"C2","C","CP_Radial_D5.0mm_P2.00mm",206.500000,-55.000000,90.000000,top
"D1","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",185.840000,-87.500000,0.000000,top
"D2","LED","LED_D5.0mm",206.460000,-96.500000,0.000000,top
"D3","LED","LED_D5.0mm",206.460000,-107.500000,0.000000,top
"D4","LED","LED_D5.0mm",206.460000,-119.500000,0.000000,top
"DS1","WC1602A","WC1602A",157.500000,-136.857500,180.000000,top
"J1","Barrel_Jack","BarrelJack_Horizontal",177.500000,-127.000000,90.000000,top
"J2","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Horizontal",193.875000,-55.375000,180.000000,top
"J3","Screw_Terminal_01x02","Wago_734-132_1x02_P3.50mm_Vertical",207.600000,-80.100000,-90.000000,top
"K1","Relay_SPDT","Relay_SPDT_Hongfa_HF3F-L-xx-1ZL1T",183.117500,-68.382500,0.000000,top
"Q1","BC547","TO-92_Inline",182.270000,-99.500000,180.000000,top
"R2","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",188.880000,-97.000000,0.000000,top
"R3","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",188.880000,-108.000000,0.000000,top
"R4","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",189.190000,-119.500000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm",175.500000,-118.000000,90.000000,top
"U1","L7805","TO-220-3_Vertical",191.000000,-132.460000,-90.000000,top
